Cluster_ID,Compound_ID
1532,Z95480923
5433,Z319903164
5432,Z56959149
1533,Z296669858
5431,Z1413676182
5430,Z1396875551
5429,Z95574045
1532,Z108626132
1531,Z96209026
198,Z18357071
1531,Z96184108
5428,Z45669990
1529,Z56837147
189,Z45582468
5427,Z118692420
5426,Z108845296
5425,Z297488974
531,Z271132796
189,Z45627945
5424,Z317471786
1530,Z199511354
5423,Z1491246013
189,Z45582445
189,Z45638865
5422,Z281858294
530,Z28051670
529,Z64471724
1529,Z56828921
531,Z271132800
5421,Z381628834
5420,Z319917856
1528,Z317466596
1528,Z317466430
5419,Z855799850
5418,Z905538648
5417,Z31704436
531,Z286181694
5416,Z738112790
1527,Z324757338
1527,Z324757262
5415,Z227929390
5414,Z1540773150
5413,Z1416681675
74,Z56801432
5412,Z1946774922
1523,Z244415042
189,Z45610305
189,Z295805828
1525,Z317464210
1526,Z738161098
1525,Z317472010
189,Z64471836
851,Z228663832
5411,Z45506691
5410,Z45537992
1524,Z728891288
5409,Z223684902
853,Z30856695
529,Z64471822
853,Z89314409
529,Z45635436
1523,Z275901494
530,Z452414260
5408,Z167200844
528,Z728891484
1439,Z217030676
529,Z64471713
5407,Z19739282
110,Z16077686
5406,Z19828546
110,Z16077475
853,Z30857282
5405,Z353974588
5404,Z217294168
5403,Z167200846
5402,Z1289527960
1522,Z45684436
852,Z79466572
528,Z45684455
5401,Z56785526
5400,Z44426211
852,Z30494376
5399,Z905444256
5398,Z166467670
5397,Z317793700
528,Z64471748
5396,Z1135226762
851,Z221571574
5395,Z227913106
1521,Z227905982
5394,Z227898042
5393,Z359429700
556,Z335379540
608,Z30095500
5392,Z30858296
5391,Z335374714
5390,Z362544652
5389,Z56229794
5388,Z32735078
5387,Z1327338588
5386,Z647400068
292,Z198010524
5385,Z168296642
5384,Z13597792
850,Z13598525
69,Z13601315
5383,Z220184604
30,Z13594367
229,Z13595648
5382,Z647977338
5381,Z366553862
12,Z13602033
5380,Z324778318
5379,Z13603688
817,Z648167332
5378,Z102369998
5377,Z67735053
5376,Z31829405
527,Z13607281
5375,Z29031474
5374,Z13606607
1515,Z152418384
5373,Z228191882
5372,Z448181156
43,Z442452780
257,Z442559784
5371,Z96219380
5370,Z362007560
76,Z13593463
891,Z651788564
5369,Z651795760
5368,Z442672852
5367,Z437781450
1159,Z741476456
5366,Z392189272
5365,Z139771508
1458,Z423960270
5364,Z652527022
5363,Z652563332
5362,Z826166334
5361,Z826166462
5360,Z648012280
720,Z46488495
5359,Z408828646
1520,Z316696918
5358,Z319474034
5357,Z241069716
580,Z284570556
5356,Z236033890
1071,Z29001190
1519,Z354836850
1430,Z324661622
318,Z32614566
5355,Z91202013
5354,Z102440370
5353,Z648240470
1144,Z1171567804
527,Z13607379
48,Z13607541
527,Z13607581
1511,Z787468210
846,Z1171568185
987,Z1171568229
5352,Z1021112004
5351,Z649103266
5350,Z649202702
983,Z354971334
5349,Z649807014
5348,Z652352238
5347,Z27167579
5346,Z650276378
5345,Z603411572
5344,Z358264636
5343,Z655171716
5342,Z650312822
5341,Z826163916
5340,Z650409218
5339,Z650635844
5338,Z650771970
247,Z737487636
5337,Z651612940
5336,Z226793868
5335,Z650623570
339,Z13672563
339,Z13672567
5334,Z826174912
5333,Z653729874
5332,Z653731256
5331,Z1762073787
5330,Z826170062
1077,Z595045122
5329,Z287256670
1406,Z13661199
5328,Z108906170
339,Z13679150
339,Z13677006
1508,Z1824505932
1518,Z199532674
5327,Z13699234
243,Z13713545
526,Z13719581
5326,Z13720030
5325,Z219994626
5324,Z651736030
526,Z13724496
5323,Z13706088
5322,Z240284472
89,Z13705090
1517,Z13705152
494,Z13702619
5321,Z224045390
5320,Z13703198
1516,Z227417314
1145,Z416753798
5319,Z227515008
5318,Z337803626
5317,Z381534256
5316,Z371782112
5315,Z17780155
5314,Z736566030
5313,Z839805296
5312,Z300715460
861,Z144932620
5311,Z166994106
805,Z445020374
5310,Z448174888
5309,Z424611920
849,Z594286918
5308,Z424520376
1420,Z422750322
848,Z316130414
848,Z336794026
5307,Z450434552
621,Z603445732
847,Z25181748
5306,Z353199530
5305,Z652707938
812,Z647333292
1515,Z98075448
266,Z14364226
193,Z13772323
59,Z13781653
5304,Z13783822
24,Z13782223
1110,Z13784152
24,Z13784404
24,Z13784411
24,Z13784418
24,Z13784432
24,Z13784570
24,Z13784586
24,Z13784762
24,Z13784775
24,Z13784900
244,Z13780149
525,Z13780227
24,Z13782595
5303,Z13785092
24,Z13785277
24,Z13785327
1514,Z13782824
1513,Z13782895
244,Z13782910
24,Z13785362
24,Z13785369
24,Z13780532
524,Z13780562
24,Z13780725
244,Z13783341
24,Z13785889
5302,Z13785946
5301,Z13781496
698,Z234944118
338,Z13806491
5300,Z244025434
46,Z424990820
412,Z558578650
848,Z27166360
849,Z594289570
1512,Z27165658
5299,Z224718816
5298,Z166935924
5297,Z216506158
55,Z13823234
5296,Z220308360
846,Z230785966
5295,Z594289976
5294,Z594289868
5293,Z1021157988
5292,Z595016954
372,Z169589836
523,Z13828798
5291,Z241349140
1511,Z776881460
5290,Z242978286
5289,Z826276558
68,Z13843330
5288,Z394507370
1422,Z394506588
1459,Z442347756
5287,Z424440550
35,Z13843549
203,Z407240264
116,Z443901468
176,Z13838905
5286,Z441154620
5285,Z340336094
1510,Z66705523
459,Z13794497
477,Z30006093
337,Z56802222
74,Z27167207
459,Z13796160
338,Z13802967
1474,Z27167508
1308,Z18483123
845,Z56848149
337,Z56848153
338,Z13805941
5284,Z224759208
844,Z13841614
1509,Z13839100
35,Z13839176
845,Z259537798
843,Z444034418
68,Z13839340
5283,Z195264668
5282,Z240219812
5281,Z52832521
363,Z368746956
453,Z510978218
68,Z13842923
5280,Z599745412
5279,Z1171626998
1394,Z13856103
124,Z13859869
55,Z13857004
5278,Z1155088864
523,Z13863119
37,Z13867455
37,Z13869791
12,Z13869856
5277,Z2000913278
37,Z13867971
30,Z13868062
12,Z13868369
660,Z13871200
37,Z13871355
957,Z17970480
37,Z13864760
12,Z13864788
12,Z13864796
1508,Z1824503237
5276,Z1744175016
68,Z13842966
5275,Z424717754
68,Z13838019
176,Z13838025
68,Z13840409
1507,Z339956310
1507,Z339958076
1496,Z424723500
68,Z13843119
68,Z13843235
5274,Z575555220
5273,Z1082716222
68,Z13844511
5272,Z826193582
5271,Z595124270
1,Z13906619
18,Z13906627
5270,Z976686682
0,Z13906701
243,Z13906709
18,Z13906789
1102,Z211305740
5269,Z352492776
5268,Z826196124
842,Z13873504
12,Z13873508
1506,Z606588522
5267,Z225896662
522,Z13873543
337,Z259536782
466,Z13873779
5266,Z284057334
77,Z13905316
100,Z13903488
119,Z13903529
79,Z13903580
1,Z13907797
12,Z13874222
5265,Z650467298
1504,Z201321534
5264,Z237882124
18,Z13902674
5263,Z1038906414
5262,Z1033454284
242,Z13901752
18,Z13901768
242,Z13902026
242,Z13902042
39,Z13906575
96,Z13904121
5261,Z218613192
1505,Z259882154
5260,Z395982660
5259,Z95982728
336,Z236030222
5258,Z440852108
5257,Z441129654
5256,Z192216802
661,Z126414892
5255,Z738067066
207,Z450148610
5254,Z459614842
5253,Z2000911902
5252,Z641136624
5251,Z421739876
5250,Z647333446
1447,Z19507870
206,Z147111396
257,Z441837252
52,Z183306492
627,Z647843730
336,Z236032416
5249,Z236036210
336,Z236032934
5248,Z370185890
5247,Z192467114
206,Z236032488
1167,Z221499530
5246,Z236033432
5245,Z195370036
206,Z226283264
5244,Z99167747
580,Z28935905
5243,Z70771175
5242,Z354363226
5241,Z409258194
5240,Z420924492
5239,Z217704634
5238,Z443937488
5237,Z466311168
1504,Z199659066
5236,Z196222618
5235,Z19622815
5234,Z385098150
626,Z467065178
5233,Z1344325543
5232,Z748402650
5231,Z416796268
5230,Z27221196
5229,Z594928570
116,Z442284186
5228,Z226622304
394,Z454108128
5227,Z512218446
841,Z71546721
118,Z14004361
839,Z14004430
521,Z14002334
840,Z14004474
241,Z14002565
118,Z14002617
383,Z14002639
383,Z14002643
118,Z14002654
118,Z14004774
5226,Z432277058
5225,Z48794591
240,Z14002702
5224,Z14002732
118,Z14002767
93,Z14004967
93,Z14004972
520,Z14005136
5223,Z99520628
5222,Z652730954
1111,Z14003042
118,Z14005242
5221,Z728454240
838,Z14001066
520,Z14003104
839,Z14001174
609,Z14003206
202,Z14003243
93,Z14003617
837,Z14005784
241,Z14001522
118,Z14001627
838,Z14005916
118,Z14001758
239,Z14001777
268,Z14006213
5220,Z14008612
1503,Z14021958
1117,Z132934754
5219,Z14025266
5218,Z740283886
5217,Z1155043883
5216,Z20225712
5215,Z14025670
92,Z14025682
5214,Z1273135918
1462,Z89998159
519,Z14008846
37,Z14014045
383,Z14006985
518,Z14007036
239,Z14007131
99,Z14007164
99,Z14007168
347,Z25106282
99,Z14007562
5213,Z653443842
226,Z14008322
5212,Z14013461
837,Z14008433
5211,Z139998162
5210,Z1176528527
5209,Z14034857
5208,Z1007523848
5207,Z1173503188
1502,Z14041461
5206,Z572635970
5205,Z301133936
5204,Z424306908
254,Z424719252
1456,Z410636554
1161,Z424400868
5203,Z360487608
860,Z424717810
5202,Z424719722
5201,Z421780156
5200,Z14044965
5199,Z512987480
652,Z424717416
86,Z14051783
92,Z14049627
5198,Z423065424
117,Z14049882
12,Z14064539
76,Z14058092
836,Z14055973
92,Z14060442
5197,Z24093369
723,Z645266528
117,Z14066971
50,Z786034406
207,Z450232380
817,Z381708960
65,Z413350682
5196,Z432145398
5195,Z570754646
836,Z14056658
5194,Z14063744
1501,Z14059114
5193,Z24095881
5192,Z730618220
890,Z823254100
517,Z14072115
5191,Z228015980
5190,Z343831662
5189,Z573370120
5188,Z596118828
5187,Z199649090
5186,Z24701766
69,Z14096567
1500,Z443902400
